DATA CONTABILE,DATA VALUTA,USCITE,ENTRATE,CAUSALE,DESCRIZIONE OPERAZIONE
11/10/2025,09/10/2025,"-6,78",,Pagamento Carta,Operazione Mastercard del 09/10/2025 alle ore 21:25 con Carta xxxxxxxxxxxx3352 Div=EUR Importo in divisa=6.78 / Importo in Euro=6.78 presso PAGOPA-NEXI
12/10/2025,10/10/2025,"-8,20",,Pagamento Carta,Operazione Mastercard del 10/10/2025 alle ore 08:33 con Carta xxxxxxxxxxxx7329 Div=EUR Importo in divisa=8.2 / Importo in Euro=8.2 presso LA RONDINE - SOCIETA' - Transazione C-less
13/10/2025,11/10/2025,"-9,50",,Pagamento Carta,Operazione Mastercard del 11/10/2025 alle ore 12:05 con Carta xxxxxxxxxxxx7329 Div=EUR Importo in divisa=9.5 / Importo in Euro=9.5 presso DOCTOR CAR WASH - Transazione C-less
13/10/2025,11/10/2025,"-14,00",,Pagamento Carta,Operazione Mastercard del 11/10/2025 alle ore 18:20 con Carta xxxxxxxxxxxx7329 Div=EUR Importo in divisa=14 / Importo in Euro=14 presso GELATERIA SOTTOZERO - Transazione C-less
13/10/2025,11/10/2025,"-3,00",,Pagamento Carta,Operazione Mastercard del 11/10/2025 alle ore 21:17 con Carta xxxxxxxxxxxx3352 Div=EUR Importo in divisa=3 / Importo in Euro=3 presso PARK PIAZZA VITTORIA - - Transazione C-less
14/10/2025,11/10/2025,"-46,50",,Pagamento Carta,Operazione Mastercard del 11/10/2025 alle ore 20:53 con Carta xxxxxxxxxxxx7329 Div=EUR Importo in divisa=46.5 / Importo in Euro=46.5 presso FRAGESA SRL - Transazione C-less
14/10/2025,12/10/2025,"-1,30",,Pagamento Carta,Pagamenti trasporti modalita' contactless. Operazione Mastercard del 12/10/2025 alle ore 11:35 con Carta xxxxxxxxxxxx7329 Div=EUR Importo in divisa=1.3 / Importo in Euro=1.3 presso CLESS TICKET ATM MILAN
14/10/2025,12/10/2025,"-4,42",,Pagamento Carta,Operazione Mastercard del 12/10/2025 alle ore 17:20 con Carta xxxxxxxxxxxx7329 Div=EUR Importo in divisa=4.42 / Importo in Euro=4.42 presso ITALMARK ALBERTANO - Transazione C-less
14/10/2025,14/10/2025,"-69,00",,Addebito Diretto,Addebito SDD CORE Scad. 14/10/2025 Imp. 69 Creditor id. LU96ZZZ0000000000000000058 PayPal Europe S.a.r.l. et Cie S.C.A Id Mandato 54V22258E3N8U Debitore Giacomo Zanotti Rif. 1045440258442/PAYPAL
15/10/2025,15/10/2025,"-161,32",,Addebito Diretto,Addebito SDD CORE Scad. 15/10/2025 Imp. 161.32 Creditor id. IT170010000011903970157 Esselunga S.p.A. Id Mandato I65084A000000000199053 Debitore GIACOMO ZANOTTI Rif. ADDEB.FIDATY ORO 20835429-2025-09 SDD 60170090012767496
15/10/2025,15/10/2025,"-10,00",,Addebito Diretto,Addebito SDD CORE Scad. 15/10/2025 Imp. 10 Creditor id. LU96ZZZ0000000000000000058 PayPal Europe S.a.r.l. et Cie S.C.A Id Mandato 54V22258E3N8U Debitore Giacomo Zanotti Rif. 1045501702327/PAYPAL
16/10/2025,14/10/2025,"-2,50",,Pagamento Carta,Operazione Mastercard del 14/10/2025 alle ore 17:31 con Carta xxxxxxxxxxxx7329 Div=EUR Importo in divisa=2.5 / Importo in Euro=2.5 presso ACQU.DISTRIB.AUTOMATI - Transazione C-less
16/10/2025,16/10/2025,"-47,18",,Addebito Diretto,Addebito SDD CORE Scad. 16/10/2025 Imp. 47.18 Creditor id. IT95XXX0000010879560968 Yada Energia Srl Id Mandato CJML412024001000218138 Debitore Zanotti Giacomo Rif. F252851342.2025-CT2024.218138
16/10/2025,16/10/2025,"-54,69",,Addebito Diretto,Addebito SDD CORE Scad. 16/10/2025 Imp. 54.69 Creditor id. IT95XXX0000010879560968 Yada Energia Srl Id Mandato CJML412024001000218139 Debitore Zanotti Giacomo Rif. F251668763.2025-CT2024.218139
16/10/2025,16/10/2025,"-4,40",,Addebito Diretto,Addebito SDD CORE Scad. 16/10/2025 Imp. 4.4 Creditor id. LU96ZZZ0000000000000000058 PayPal Europe S.a.r.l. et Cie S.C.A Id Mandato 54V22258E3N8U Debitore Giacomo Zanotti Rif. 1045508932933/PAYPAL
16/10/2025,16/10/2025,"-335,50",,Addebito Diretto,Addebito SDD CORE Scad. 16/10/2025 Imp. 335.5 Creditor id. LU96ZZZ0000000000000000058 PayPal Europe S.a.r.l. et Cie S.C.A Id Mandato 54V22258E3N8U Debitore Giacomo Zanotti Rif. 1045523943074/PAYPAL
16/10/2025,16/10/2025,"-10,00",,Addebito Diretto,Addebito SDD CORE Scad. 16/10/2025 Imp. 10 Creditor id. LU96ZZZ0000000000000000058 PayPal Europe S.a.r.l. et Cie S.C.A Id Mandato 54V22258E3N8U Debitore Giacomo Zanotti Rif. 1045522930880/PAYPAL
16/10/2025,,,"+1.318,59",,Saldo finale
